"Node","XL","YL","Lon","Lat","Last.level"
"027","-140","+120",229.39871,73.3592,2000
"028","-140","+140",225,72.12223,2000
"029","-140","+160",221.18593,70.79067,1500
"041","-120","+100",230.19443,75.91698,2000
"042","-120","+120",225,74.6928,3500
"043","-120","+140",220.60129,73.3592,3000
"044","-120","+160",216.8699,71.93921,3000
"054","-100","+040",248.19859,80.30262,500
"055","-100","+060",239.03624,79.49769,2500
"056","-100","+080",231.34019,78.4638,3000
"057","-100","+100",225,77.25565,3500
"058","-100","+120",219.80557,75.91698,3500
"059","-100","+140",215.53768,74.48037,3500
"060","-100","+160",212.00538,72.96932,3500
"061","-100","+180",209.0546,71.40061,1000
"070","-080","+000",270,82.80082,1000
"071","-080","+020",255.96376,82.57895,2000
"072","-080","+040",243.43495,81.94975,3500
"073","-080","+060",233.1301,80.99769,3000
"074","-080","+080",225,79.81211,3500
"075","-080","+100",218.65981,78.4638,3500
"076","-080","+120",213.69007,77.00218,3500
"077","-080","+140",209.74488,75.46016,3500
"078","-080","+160",206.56505,73.85942,3500
"090","-060","-020",288.43495,84.30996,1000
"091","-060","+000",270,84.60217,1500
"092","-060","+020",251.56505,84.30996,1500
"093","-060","+040",236.30993,83.51155,3500
"094","-060","+060",225,82.36349,3500
"095","-060","+080",216.8699,80.99769,3500
"096","-060","+100",210.96376,79.49769,3500
"097","-060","+120",206.56505,77.91215,1500
"098","-060","+140",203.19859,76.26936,1000
"099","-060","+160",200.55605,74.58623,2000
"117","-040","-040",315,84.91109,2500
"118","-040","-020",296.56505,85.97736,1000
"119","-040","+000",270,86.40219,2500
"120","-040","+020",243.43495,85.97736,1500
"121","-040","+040",225,84.91109,2000
"122","-040","+060",213.69007,83.51155,2500
"123","-040","+080",206.56505,81.94975,3500
"124","-040","+100",201.80141,80.30262,3500
"125","-040","+120",198.43495,78.60582,750
"126","-040","+140",195.9454,76.87725,750
"127","-040","+160",194.03624,75.12655,500
"145","-020","-080",345.96376,82.57895,2000
"146","-020","-060",341.56505,84.30996,3500
"147","-020","-040",333.43495,85.97736,3500
"148","-020","-020",315,87.45617,2500
"149","-020","+000",270,88.20132,2000
"150","-020","+020",225,87.45617,2500
"151","-020","+040",206.56505,85.97736,2500
"152","-020","+060",198.43495,84.30996,1500
"153","-020","+080",194.03624,82.57895,3500
"154","-020","+100",191.30993,80.81903,3000
"155","-020","+120",189.46232,79.04279,2500
"156","-020","+140",188.1301,77.25565,2000
"157","-020","+160",187.12502,75.46016,750
"173","+000","-120",0,79.19232,3000
"174","+000","-100",0,80.99769,2500
"175","+000","-080",0,82.80082,3500
"176","+000","-060",0,84.60217,3000
"177","+000","-040",0,86.40219,4000
"178","+000","-020",0,88.20132,4000
"179","+000","+000",0,90,4000
"180","+000","+020",180,88.20132,3500
"181","+000","+040",180,86.40219,3500
"182","+000","+060",180,84.60217,2000
"183","+000","+080",180,82.80082,2000
"184","+000","+100",180,80.99769,2000
"185","+000","+120",180,79.19232,1500
"186","+000","+140",180,77.38426,1500
"203","+020","-100",11.30993,80.81903,1500
"204","+020","-080",14.03624,82.57895,2000
"205","+020","-060",18.43495,84.30996,3500
"206","+020","-040",26.56505,85.97736,3000
"207","+020","-020",45,87.45617,4000
"208","+020","+000",90,88.20132,4000
"209","+020","+020",135,87.45617,3000
"210","+020","+040",153.43495,85.97736,3500
"211","+020","+060",161.56505,84.30996,3000
"212","+020","+080",165.96376,82.57895,2500
"213","+020","+100",168.69007,80.81903,2500
"214","+020","+120",170.53768,79.04279,2000
"215","+020","+140",171.8699,77.25565,500
"229","+040","-080",26.56505,81.94975,3000
"230","+040","-060",33.69007,83.51155,3500
"231","+040","-040",45,84.91109,3500
"232","+040","-020",63.43495,85.97736,3000
"233","+040","+000",90,86.40219,3500
"234","+040","+020",116.56505,85.97736,4000
"235","+040","+040",135,84.91109,4000
"236","+040","+060",146.30993,83.51155,1500
"237","+040","+080",153.43495,81.94975,2500
"238","+040","+100",158.19859,80.30262,2000
"239","+040","+120",161.56505,78.60582,1000
"255","+060","-060",45,82.36349,1500
"256","+060","-040",56.30993,83.51155,3000
"257","+060","-020",71.56505,84.30996,3500
"258","+060","+000",90,84.60217,3500
"259","+060","+020",108.43495,84.30996,3500
"260","+060","+040",123.69007,83.51155,4000
"261","+060","+060",135,82.36349,3500
"262","+060","+080",143.1301,80.99769,1500
"277","+080","-040",63.43495,81.94975,500
"278","+080","-020",75.96376,82.57895,2000
"279","+080","+000",90,82.80082,3000
"280","+080","+020",104.03624,82.57895,3500
"281","+080","+040",116.56505,81.94975,3500
"282","+080","+060",126.8699,80.99769,4000
"283","+080","+080",135,79.81211,3000
"299","+100","+020",101.30993,80.81903,1000
"300","+100","+040",111.80141,80.30262,3000
"301","+100","+060",120.96376,79.49769,3000
"302","+100","+080",128.65981,78.4638,2500
"320","+120","+060",116.56505,77.91215,1000
